name;kind;verdict;trace_length;hibou_time_tries;hibou_tries_quickest;hibou_time_median
t10044;ACPT;WeakPass;62;[0.3964363, 0.9604532, 0.0117627, 0.0720856, 0.3048004];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.3048004
t1007;ACPT;WeakPass;62;[0.019946, 0.0822229, 0.0420723, 0.0377617, 0.0735507];['WT_LOC', 'NO_LOC', 'WT_LOC', 'NO_LOC', 'WT_LOC'];0.0420723
t10112;ACPT;WeakPass;60;[0.0048632, 0.0052474, 0.0054049, 0.0021848, 0.0050076];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0050076
t10180;ACPT;WeakPass;62;[0.0323926, 0.0783132, 8.559198, 8.9329928, 0.0298017];['WT_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.0783132
t10243;ACPT;WeakPass;60;[0.0052443, 0.0085903, 0.0059379, 0.0035523, 0.0044241];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0052443
t10359;ACPT;WeakPass;116;[0.0036062, 0.008881, 0.0051223, 0.0344997, 0.0038201];['NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC', 'NO_LOC'];0.0051223
t10423;ACPT;WeakPass;66;[9.1821181, 0.7049476, 6.8914949, 0.5796216, 9.6111442];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];6.8914949
t10489;ACPT;WeakPass;60;[0.0079766, 0.0032675, 0.0059654, 0.0056523, 0.0054113];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0056523
t10580;ACPT;WeakPass;92;[0.0692142, 0.140556, 0.2930452, 0.00613, 0.0116259];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0692142
t10645;ACPT;Pass;62;[0.0201353, 0.5197566, 0.0265961, 0.5812177, 0.0225189];['WT_LOC', 'NO_LOC', 'WT_LOC', 'NO_LOC', 'WT_LOC'];0.0265961
t10710;ACPT;TIMEOUT;None;[];[];None
t10768;ACPT;WeakPass;62;[2.5651260000000002, 0.2994025, 0.3525014, 0.5202532, 4.9935448000000004];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.5202532
t10877;ACPT;WeakPass;114;[0.0229146, 0.0405245, 0.0031125, 0.0394385, 0.0970644];['NO_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0394385
t10971;ACPT;WeakPass;100;[0.0374482, 0.031058, 0.0011871, 0.0061993, 0.0134763];['NO_LOC', 'SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0134763
t11077;ACPT;WeakPass;112;[0.0384141, 0.0397484, 0.0901608, 0.0354313, 0.0115207];['WT_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0384141
t1117;ACPT;Pass;111;[0.1883836, 0.005977, 0.0334355, 0.0337635, 0.0026624];['NO_LOC', 'NO_LOC', 'WT_LOC', 'WT_LOC', 'NO_LOC'];0.0334355
t11179;ACPT;WeakPass;108;[0.002229, 0.0066202, 0.0264491, 0.0324924, 0.0237666];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0237666
t11237;ACPT;WeakPass;60;[0.0046973, 0.0030712, 0.0040207, 0.004221, 0.0183169];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.004221
t11303;ACPT;Pass;62;[0.4268699, 0.4005177, 0.0081065, 0.0166359, 0.1056696];['NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC', 'NO_LOC'];0.1056696
t11366;ACPT;WeakPass;60;[0.0141576, 0.0036909, 0.0035627, 0.0090196, 0.0035285];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0036909
t11430;ACPT;WeakPass;60;[0.0047623, 0.0069863, 0.0037948, 0.0093623, 0.0038467];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0047623
t11494;ACPT;WeakPass;60;[0.00437, 0.0052156, 0.0047359, 0.0088981, 0.0216032];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'SAME'];0.0052156
t11554;ACPT;WeakPass;60;[0.0026033, 0.0051076, 0.0046827, 0.0243031, 0.0059756];['NO_LOC', 'NO_LOC', 'NO_LOC', 'SAME', 'NO_LOC'];0.0051076
t11651;ACPT;WeakPass;104;[1.1526945, 0.0298098, 0.2958503, 0.0116921, 0.3881584];['NO_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.2958503
t11730;ACPT;WeakPass;88;[0.1081528, 0.0738443, 0.0407132, 1.0276607, 0.0320989];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0738443
t11787;ACPT;WeakPass;60;[0.0029255, 0.0231975, 0.0098413, 0.0067329, 0.0038017];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0067329
t11847;ACPT;WeakPass;62;[0.3236574, 4.6578919, 0.9623069, 1.317299, 0.0805358];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.9623069
t119;ACPT;WeakPass;118;[0.0075921, 0.0054533, 0.0030531, 0.002905, 0.0037938];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0037938
t11905;ACPT;Pass;62;[0.9526114, 0.0149699, 0.0152454, 0.3257469, 0.2645714];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.2645714
t11961;ACPT;TIMEOUT;None;[];[];None
t12016;ACPT;WeakPass;62;[0.5813603, 1.0176211, 0.9956772, 0.4351115, 0.7471209];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.7471209
t1207;ACPT;Pass;91;[0.0489627, 0.028535, 0.0478071, 0.2086401, 1.6843922999999998];['WT_LOC', 'WT_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC'];0.0489627
t12070;ACPT;WeakPass;62;[0.0082348, 0.1069207, 0.0099828, 0.0558768, 0.4440431];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0558768
